classifier_name,dataset_name,accuracy
InceptionTime,GesturePebbleZ1,0.9244
InceptionTime,GesturePebbleZ2,0.8861
InceptionTime,GunPoint,0.8861
InceptionTime,GunPointAgeSpan,0.9873
InceptionTime,GunPointMaleVersusFemale,0.9937
InceptionTime,GunPointOldVersusYoung,0.9746
InceptionTime,Ham,0.7143
InceptionTime,HandOutlines,0.9568
InceptionTime,Haptics,0.5649
InceptionTime,Herring,0.6875
InceptionTime,HouseTwenty,0.9832
InceptionTime,InlineSkate,0.5055
InceptionTime,InsectEPGRegularTrain,0.996
InceptionTime,InsectEPGSmallTrain,0.9438
InceptionTime,InsectWingbeatSound,0.6318
InceptionTime,ItalyPowerDemand,0.965
InceptionTime,LargeKitchenAppliances,0.8987
InceptionTime,Lightning2,0.7869
InceptionTime,Lightning7,0.8219
InceptionTime,Mallat,0.962
InceptionTime,Meat,0.95
InceptionTime,MedicalImages,0.8
InceptionTime,MelbournePedestrian,0.9102
InceptionTime,MiddlePhalanxOutlineAgeGroup,0.539
InceptionTime,MiddlePhalanxOutlineCorrect,0.8282
InceptionTime,MiddlePhalanxTW,0.5325
InceptionTime,MixedShapesRegularTrain,0.9699
InceptionTime,MixedShapesSmallTrain,0.913
InceptionTime,MoteStrain,0.8962
InceptionTime,NonInvasiveFetalECGThorax1,0.9593
InceptionTime,NonInvasiveFetalECGThorax2,0.9618
InceptionTime,OSULeaf,0.9339
InceptionTime,OliveOil,0.8667
InceptionTime,PLAID,0.9423
InceptionTime,PhalangesOutlinesCorrect,0.859
InceptionTime,Phoneme,0.3402
InceptionTime,PickupGestureWiimoteZ,0.76
InceptionTime,PigAirwayPressure,0.5433
InceptionTime,PigArtPressure,0.9952
InceptionTime,PigCVP,0.9615
InceptionTime,Plane,1
InceptionTime,PowerCons,0.9556
InceptionTime,ProximalPhalanxOutlineAgeGroup,0.839
InceptionTime,ProximalPhalanxOutlineCorrect,0.9278
InceptionTime,ProximalPhalanxTW,0.7854
InceptionTime,RefrigerationDevices,0.5147
InceptionTime,Rock,0.82
InceptionTime,ScreenType,0.5893
InceptionTime,SemgHandGenderCh2,0.8167
InceptionTime,SemgHandMovementCh2,0.4444
InceptionTime,SemgHandSubjectCh2,0.8111
InceptionTime,ShakeGestureWiimoteZ,0.9
InceptionTime,ShapeletSim,0.9889
InceptionTime,ShapesAll,0.925
InceptionTime,SmallKitchenAppliances,0.776
InceptionTime,SmoothSubspace,0.98
